               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11247,            0.020795,                   0,           0.0012251,            0.093567,          0.00070121,           0.0001272,             0.09421,            0.019332,                   0,             0.00046,             0.00046,             0.09586
                   1,            0.098426,            0.020829,                   0,           0.0019078,            0.070175,          0.00094468,          0.00019283,            0.085469,            0.018978,                   0,          0.00092979,          0.00092979,             0.09163
                   2,            0.089682,            0.022309,                   0,            0.005223,             0.34503,           0.0033255,          0.00065754,            0.076764,            0.019375,                   0,           0.0013988,           0.0013988,            0.087399
                   3,            0.082763,            0.022405,                   0,            0.017248,             0.27485,            0.012836,            0.002399,            0.072207,            0.018585,                   0,           0.0018663,           0.0018663,            0.083166
                   4,            0.074833,            0.021083,                   0,              0.1765,             0.46784,             0.14039,            0.035906,            0.061495,            0.017043,                   0,           0.0023317,           0.0023317,            0.078932
                   5,             0.06936,            0.019138,                   0,             0.21878,             0.47165,             0.21976,            0.053098,            0.062018,            0.014802,                   0,           0.0027944,           0.0027944,            0.074694
                   6,            0.065142,            0.017568,                   0,             0.37847,             0.47368,               0.406,             0.11933,             0.05361,            0.014209,                   0,           0.0032539,           0.0032539,            0.070454
                   7,            0.061402,            0.016976,                   0,             0.39321,             0.50292,             0.38151,             0.12002,            0.052094,            0.013216,                   0,           0.0037094,           0.0037094,            0.066209
                   8,            0.059445,            0.016187,                   0,             0.73793,             0.72515,             0.76062,              0.3387,            0.044833,            0.012486,                   0,           0.0041603,           0.0041603,             0.06196
                   9,            0.056563,            0.015802,                   0,             0.32589,             0.79442,             0.32244,              0.1305,            0.050993,            0.012159,                   0,           0.0046062,           0.0046062,            0.057706
                  10,            0.056982,            0.014983,                   0,             0.55454,             0.76439,             0.65678,             0.32036,             0.04365,            0.011807,                   0,           0.0050464,           0.0050464,            0.053446
                  11,            0.056749,            0.015343,                   0,             0.51385,             0.75439,             0.59561,             0.26132,            0.044536,            0.012344,                   0,           0.0054802,           0.0054802,             0.04918
                  12,            0.055099,            0.014589,                   0,             0.43463,             0.89474,             0.42216,             0.21659,            0.040918,            0.012381,                   0,           0.0059072,           0.0059072,            0.044907
                  13,            0.053541,             0.01466,                   0,             0.51381,             0.79532,             0.63623,             0.32482,            0.043734,            0.010791,                   0,           0.0063268,           0.0063268,            0.040627
                  14,            0.051481,            0.013842,                   0,             0.51735,             0.78356,             0.61439,             0.33214,            0.041889,            0.010481,                   0,           0.0067385,           0.0067385,            0.036338
                  15,            0.051017,            0.013299,                   0,             0.53474,             0.79312,             0.57714,              0.3138,            0.042404,            0.010512,                   0,           0.0071417,           0.0071417,            0.032042
                  16,            0.049942,            0.013445,                   0,             0.51403,             0.83626,             0.51658,             0.26716,            0.042024,            0.010582,                   0,           0.0075358,           0.0075358,            0.027736
                  17,             0.05005,            0.013713,                   0,             0.53439,             0.81287,             0.58534,             0.33665,            0.039793,            0.009929,                   0,           0.0079205,           0.0079205,             0.02342
                  18,            0.050881,            0.012983,                   0,              0.4732,             0.84211,             0.61963,             0.34914,            0.042211,            0.010421,                   0,           0.0082951,           0.0082951,            0.019095
                  19,             0.04945,             0.01308,                   0,              0.4684,             0.91203,             0.44914,             0.23441,            0.041413,             0.01049,                   0,           0.0086593,           0.0086593,            0.014759
                  20,             0.04843,             0.01343,                   0,             0.45842,             0.90643,             0.45997,             0.25121,             0.04001,            0.010222,                   0,           0.0090126,           0.0090126,            0.010413
                  21,              0.0468,            0.012782,                   0,              0.5271,             0.84795,             0.56293,             0.33498,            0.037114,           0.0098272,                   0,           0.0090557,           0.0090557,           0.0090557
