               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11212,            0.020762,                   0,           0.0015962,            0.064327,          0.00094474,          0.00018927,            0.094145,            0.019274,                   0,             0.00046,             0.00046,             0.09586
                   1,            0.091928,             0.02172,                   0,           0.0076845,            0.081871,           0.0052921,           0.0011255,            0.072387,            0.020354,                   0,          0.00092979,          0.00092979,             0.09163
                   2,            0.068522,            0.024363,                   0,             0.29901,             0.66082,             0.33409,             0.10405,            0.055907,            0.018417,                   0,           0.0013988,           0.0013988,            0.087399
                   3,            0.058001,            0.020951,                   0,             0.69625,             0.59064,             0.63966,             0.26662,            0.050999,            0.015137,                   0,           0.0018663,           0.0018663,            0.083166
                   4,            0.054944,            0.018103,                   0,             0.74802,             0.76023,             0.80418,             0.40455,            0.038844,            0.014295,                   0,           0.0023317,           0.0023317,            0.078932
                   5,            0.052749,            0.016513,                   0,             0.69011,             0.74231,             0.73001,             0.31318,            0.045225,            0.012629,                   0,           0.0027944,           0.0027944,            0.074694
                   6,            0.048978,            0.014975,                   0,             0.82585,             0.88743,             0.87595,             0.32295,            0.042648,            0.011611,                   0,           0.0032539,           0.0032539,            0.070454
                   7,            0.048081,            0.014218,                   0,             0.69249,             0.81871,              0.7846,             0.31769,            0.045649,            0.010579,                   0,           0.0037094,           0.0037094,            0.066209
                   8,             0.04461,            0.013547,                   0,             0.85001,             0.83041,             0.88025,             0.44938,            0.035029,            0.010392,                   0,           0.0041603,           0.0041603,             0.06196
                   9,            0.042977,            0.012652,                   0,             0.95596,             0.89474,             0.93715,             0.50032,            0.036053,           0.0096085,                   0,           0.0046062,           0.0046062,            0.057706
                  10,            0.043758,            0.011885,                   0,             0.90815,             0.87135,             0.91975,             0.47422,            0.037891,           0.0089181,                   0,           0.0050464,           0.0050464,            0.053446
                  11,            0.045733,             0.01173,                   0,             0.78866,             0.89473,             0.88461,              0.5114,            0.036979,           0.0090638,                   0,           0.0054802,           0.0054802,             0.04918
                  12,            0.044122,            0.011421,                   0,             0.98052,             0.88286,             0.95404,             0.51968,             0.03665,           0.0084247,                   0,           0.0059072,           0.0059072,            0.044907
                  13,            0.042945,            0.010968,                   0,              0.9186,             0.92387,             0.94745,              0.5764,            0.031826,           0.0080298,                   0,           0.0063268,           0.0063268,            0.040627
                  14,            0.040705,            0.010341,                   0,             0.94316,             0.97045,             0.96741,             0.56655,            0.032882,           0.0075443,                   0,           0.0067385,           0.0067385,            0.036338
                  15,             0.03973,           0.0098489,                   0,              0.9055,             0.95322,             0.95236,             0.59038,            0.030703,           0.0077147,                   0,           0.0071417,           0.0071417,            0.032042
                  16,            0.038036,           0.0096475,                   0,             0.95857,             0.94718,             0.95943,             0.63766,            0.026156,           0.0072185,                   0,           0.0075358,           0.0075358,            0.027736
                  17,            0.036663,           0.0098471,                   0,             0.96907,             0.91813,             0.95704,             0.62129,            0.029413,           0.0069442,                   0,           0.0079205,           0.0079205,             0.02342
                  18,            0.038987,           0.0093215,                   0,              0.9081,             0.98238,             0.96092,             0.55415,            0.031014,           0.0069216,                   0,           0.0082951,           0.0082951,            0.019095
                  19,            0.039925,            0.009391,                   0,             0.94186,             0.94736,             0.95748,             0.50591,            0.033513,           0.0071509,                   0,           0.0086593,           0.0086593,            0.014759
                  20,              0.0363,            0.009166,                   0,             0.96978,             0.94152,             0.96427,               0.649,            0.028119,           0.0064606,                   0,           0.0090126,           0.0090126,            0.010413
                  21,            0.037596,            0.009141,                   0,             0.96932,             0.92368,             0.95847,             0.59891,            0.029223,           0.0064455,                   0,           0.0090557,           0.0090557,           0.0090557
                  22,            0.035623,           0.0087379,                   0,             0.95924,             0.96491,             0.96707,             0.54509,            0.035494,           0.0063945,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,            0.034798,           0.0089047,                   0,             0.93678,             0.95317,              0.9615,             0.60742,            0.028056,           0.0063646,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,             0.03143,           0.0083411,                   0,             0.94885,             0.98246,             0.96784,             0.66406,            0.024783,           0.0059697,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.031344,           0.0084689,                   0,             0.92737,             0.97065,              0.9659,              0.6519,            0.025392,           0.0059901,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,             0.03154,           0.0085181,                   0,             0.94413,             0.98825,             0.96423,             0.67654,            0.023021,           0.0056935,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.030188,           0.0080932,                   0,             0.96491,              0.9649,             0.96554,             0.63133,            0.025754,           0.0059092,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,            0.028102,           0.0079079,                   0,             0.96503,             0.97076,              0.9685,             0.67559,            0.025467,           0.0059476,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,            0.028951,           0.0080706,                   0,             0.95402,             0.97072,             0.97066,             0.67868,            0.023176,           0.0057429,                   0,           0.0083684,           0.0083684,           0.0083684
                  30,            0.027928,           0.0077584,                   0,             0.94412,              0.9883,             0.96668,             0.69952,            0.023215,           0.0054593,                   0,           0.0082581,           0.0082581,           0.0082581
                  31,            0.027876,           0.0076084,                   0,             0.95943,             0.97076,             0.96466,             0.68269,            0.023336,           0.0055714,                   0,            0.008145,            0.008145,            0.008145
                  32,            0.026485,           0.0076634,                   0,              0.9704,             0.95906,             0.98014,             0.71821,            0.022537,           0.0052429,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.026129,           0.0072334,                   0,             0.96512,             0.97074,             0.97338,             0.71985,            0.020308,            0.005123,                   0,           0.0079112,           0.0079112,           0.0079112
                  34,             0.02568,           0.0076433,                   0,             0.94903,             0.98246,             0.97484,              0.7176,            0.020498,           0.0053278,                   0,           0.0077907,           0.0077907,           0.0077907
                  35,            0.024609,           0.0075907,                   0,             0.95953,             0.97076,             0.97707,             0.72698,            0.022422,            0.005127,                   0,           0.0076679,           0.0076679,           0.0076679
                  36,            0.025228,           0.0070217,                   0,             0.96491,             0.96491,              0.9738,             0.72814,            0.020355,           0.0050709,                   0,            0.007543,            0.007543,            0.007543
                  37,            0.024521,           0.0071561,                   0,             0.97051,             0.97076,             0.97652,             0.74898,            0.019478,           0.0049919,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.024164,           0.0070828,                   0,             0.95977,             0.97656,             0.96897,             0.75757,            0.019518,            0.004951,                   0,           0.0072872,           0.0072872,           0.0072872
